Employee title,Employee code,2012,2022,Number,Percent,"Percent self employed, 2012","Job openings due to growth and replacement needs, 2012-22","Median annual wage, 2012 (1)",Education,Occupation,Training
"Transportation, storage, and distribution managers",11-3071,105.2,110.3,5.1,4.9,4.8,29.1,"$81,830",High school diploma or equivalent,5 years or more,None
Compensation and benefits managers,11-3111,20.7,21.4,0.6,3.1,— ,6.1,"$95,250",Bachelor's degree,5 years or more,None
Human resources managers,11-3121,102.7,116.3,13.6,13.2,1,40.6,"$99,720",Bachelor's degree,5 years or more,None
Training and development managers,11-3131,28.6,31.8,3.2,11.2,— ,10.7,"$95,400",Bachelor's degree,5 years or more,None
Other management occupations,11-9000,4215,4371,156.1,3.7,43.1,1207,"$81,940",— ,— ,— 
"Farmers, ranchers, and other agricultural managers",11-9013,930.6,750.7,-179.9,-19.3,73.1,150.2,"$69,300",High school diploma or equivalent,5 years or more,None
Construction managers,11-9021,485,563.2,78.2,16.1,56.7,154.6,"$82,790",Bachelor's degree,None,Moderate-term on-the-job training
Education administrators,11-9030,491.4,542,50.6,10.3,3.8,181.3,"$82,930",— ,— ,— 
"Education administrators, preschool and childcare center/program",11-9031,63.8,74.7,10.9,17,8.7,27.8,"$43,950",Bachelor's degree,Less than 5 years,None
"Education administrators, elementary and secondary school",11-9032,231.5,244.7,13.1,5.7,1.7,74.7,"$87,760",Master's degree,5 years or more,None
"Education administrators, postsecondary",11-9033,161.8,185.3,23.5,14.5,4.6,66.5,"$86,490",Master's degree,5 years or more,None
"Education administrators, all other",11-9039,34.2,37.3,3.1,9,5.5,12.2,"$76,860",Bachelor's degree,Less than 5 years,None
Architectural and engineering managers,11-9041,193.8,206.9,13.1,6.7,1.7,60.6,"$124,870",Bachelor's degree,5 years or more,None
Food service managers,11-9051,321.4,326.5,5,1.6,39.8,62.4,"$47,960",High school diploma or equivalent,Less than 5 years,None
Funeral service managers,11-9061,9.3,10.5,1.2,12.5,1.7,3.2,"$66,720",Associate's degree,Less than 5 years,None
Gaming managers,11-9071,4.8,5.2,0.4,7.5,6.4,1.4,"$65,220",High school diploma or equivalent,Less than 5 years,None
Lodging managers,11-9081,50.4,51.1,0.7,1.4,39.4,16.2,"$46,810",High school diploma or equivalent,Less than 5 years,None
Medical and health services managers,11-9111,315.5,388.8,73.3,23.2,4.6,149.9,"$88,580",Bachelor's degree,None,None
Natural sciences managers,11-9121,51.6,54.5,2.9,5.7,1.1,13.7,"$115,730",Bachelor's degree,5 years or more,None
Postmasters and mail superintendents,11-9131,23,17.4,-5.6,-24.2,— ,5,"$63,050",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Property, real estate, and community association managers",11-9141,297,332,35,11.8,44.7,102.1,"$52,610",High school diploma or equivalent,Less than 5 years,None
Social and community service managers,11-9151,132.9,160.6,27.7,20.8,7,55.1,"$59,970",Bachelor's degree,5 years or more,None
Emergency management directors,11-9161,9.9,10.7,0.8,8.3,— ,2.2,"$59,770",Bachelor's degree,5 years or more,None
"Managers, all other",11-9199,898.2,950.8,52.6,5.9,59.3,249.1,"$100,890",High school diploma or equivalent,Less than 5 years,None
Business and financial operations occupations,13-0000,7167.6,8065.7,898.1,12.5,6.1,2351.5,"$62,500",— ,— ,— 
Business operations specialists,13-1000,4432.3,5009.2,576.9,13,5.5,1344.1,"$62,230",— ,— ,— 
"Agents and business managers of artists, performers, and athletes",13-1011,18.3,20.1,1.8,9.7,33,5.8,"$63,370",Bachelor's degree,Less than 5 years,None
Buyers and purchasing agents,13-1020,432.7,450.9,18.1,4.2,5.5,105,"$56,880",— ,— ,— 
"Buyers and purchasing agents, farm products",13-1021,14.2,15,0.8,5.9,24.7,3.5,"$55,720",High school diploma or equivalent,None,Long-term on-the-job training
"Wholesale and retail buyers, except farm products",13-1022,124.6,133.5,8.9,7.1,12.2,39.9,"$51,470",High school diploma or equivalent,None,Long-term on-the-job training
"Purchasing agents, except wholesale, retail, and farm products",13-1023,294,302.4,8.4,2.9,1.8,61.6,"$58,760",High school diploma or equivalent,None,Long-term on-the-job training
"Claims adjusters, appraisers, examiners, and investigators",13-1030,311.1,321.9,10.8,3.5,2.4,83.4,"$59,850",— ,— ,— 
"Claims adjusters, examiners, and investigators",13-1031,297.6,309.1,11.5,3.9,2.4,80.3,"$59,960",High school diploma or equivalent,None,Long-term on-the-job training
"Insurance appraisers, auto damage",13-1032,13.5,12.8,-0.7,-5.3,2.9,3.1,"$58,610",Postsecondary non-degree award,None,Moderate-term on-the-job training
Compliance officers,13-1041,239.8,250.8,11,4.6,0.1,55.3,"$62,020",Bachelor's degree,None,Moderate-term on-the-job training
Cost estimators,13-1051,202.2,255.2,53,26.2,2.8,118,"$58,860",Bachelor's degree,None,None
Human resources workers,13-1070,495.6,528.1,32.5,6.6,1.8,123.7,"$55,600",— ,— ,— 
Human resources specialists,13-1071,418,451.1,33.2,7.9,1.7,109.5,"$55,800",Bachelor's degree,None,None
Labor relations specialists,13-1075,77.6,76.9,-0.6,-0.8,2.1,14.2,"$54,660",Bachelor's degree,None,None
Logisticians,13-1081,125.9,153.6,27.6,21.9,2.3,42.2,"$72,780",Bachelor's degree,None,None
Management analysts,13-1111,718.7,852.5,133.8,18.6,21.4,245.2,"$78,600",Bachelor's degree,Less than 5 years,None
"Meeting, convention, and event planners",13-1121,94.2,125.4,31.3,33.2,15.7,44.2,"$45,810",Bachelor's degree,None,None
Fundraisers,13-1131,65.7,77.1,11.4,17.3,0.9,24.3,"$50,680",Bachelor's degree,None,None
"Compensation, benefits, and job analysis specialists",13-1141,91.7,97,5.3,5.8,0.8,22,"$59,090",Bachelor's degree,None,None
Training and development specialists,13-1151,228.8,264.2,35.4,15.5,0.9,77.2,"$55,930",Bachelor's degree,Less than 5 years,None
Market research analysts and marketing specialists,13-1161,415.7,547.2,131.5,31.6,2.9,188.5,"$60,300",Bachelor's degree,None,None
"Business operations specialists, all other",13-1199,991.8,1065.2,73.4,7.4,0.5,209.4,"$65,120",High school diploma or equivalent,None,None
Financial specialists,13-2000,2735.3,3056.5,321.2,11.7,7.1,1007.4,"$63,070",— ,— ,— 
Accountants and auditors,13-2011,1275.4,1442.2,166.7,13.1,6.7,544.2,"$63,550",Bachelor's degree,None,None
Appraisers and assessors of real estate,13-2021,83.7,88.4,4.7,5.6,27.3,12.1,"$49,540",Bachelor's degree,None,Long-term on-the-job training
Budget analysts,13-2031,61.7,65.5,3.8,6.1,— ,28.5,"$69,280",Bachelor's degree,None,None
Credit analysts,13-2041,61.8,68.2,6.4,10.4,— ,21.8,"$61,080",Bachelor's degree,None,None
Financial analysts and advisors,13-2050,582.7,675.9,93.2,16,9.2,226.2,"$71,770",— ,— ,— 
Financial analysts,13-2051,253,292.4,39.3,15.5,2.6,100.9,"$76,950",Bachelor's degree,None,None
Personal financial advisors,13-2052,223.4,283.7,60.3,27,20.2,96.4,"$67,520",Bachelor's degree,None,None
Insurance underwriters,13-2053,106.3,99.8,-6.5,-6.1,1.8,28.9,"$62,870",Bachelor's degree,None,Moderate-term on-the-job training
Financial examiners,13-2061,29.2,31.1,1.8,6.3,— ,9.2,"$75,800",Bachelor's degree,None,Moderate-term on-the-job training
Credit counselors and loan officers,13-2070,327.8,357,29.2,8.9,2.3,89.2,"$57,500",— ,— ,— 
Credit counselors,13-2071,30.9,37.3,6.4,20.7,1.8,12,"$39,420",Bachelor's degree,None,Moderate-term on-the-job training
Loan officers,13-2072,296.9,319.8,22.9,7.7,2.3,77.2,"$59,820",Bachelor's degree,None,Moderate-term on-the-job training
"Tax examiners, collectors and preparers, and revenue agents",13-2080,157,163,6,3.8,14.9,50.4,"$43,970",— ,— ,— 
"Tax examiners and collectors, and revenue agents",13-2081,69.5,66.8,-2.7,-3.9,— ,23.9,"$50,440",Bachelor's degree,None,Moderate-term on-the-job training
Tax preparers,13-2082,87.6,96.2,8.7,9.9,26.7,26.5,"$33,730",High school diploma or equivalent,None,Moderate-term on-the-job training
"Financial specialists, all other",13-2099,155.8,165.2,9.4,6.1,1,25.8,"$61,160",Bachelor's degree,None,Moderate-term on-the-job training
Computer and mathematical occupations,15-0000,3814.7,4500.5,685.8,18,2.9,1308.5,"$76,270",— ,— ,— 
Computer occupations,15-1100,3682.3,4333.6,651.3,17.7,3,1240.1,"$76,270",— ,— ,— 
Computer and information research scientists,15-1111,26.7,30.8,4.1,15.3,0.9,8.3,"$102,190",Doctoral or professional degree,None,None
Computer and information analysts,15-1120,595.7,750.9,155.2,26.1,3.6,248.8,"$80,460",— ,— ,— 
Computer systems analysts,15-1121,520.6,648.4,127.7,24.5,4,209.6,"$79,680",Bachelor's degree,None,None
Information security analysts,15-1122,75.1,102.5,27.4,36.5,0.7,39.2,"$86,170",Bachelor's degree,Less than 5 years,None
Software developers and programmers,15-1130,1503.1,1782.6,279.5,18.6,4.5,522,"$87,100",— ,— ,— 
Computer programmers,15-1131,343.7,372.1,28.4,8.3,5.1,118.1,"$74,280",Bachelor's degree,None,None
"Software developers, applications",15-1132,613,752.9,139.9,22.8,1.8,218.5,"$90,060",Bachelor's degree,None,None
"Software developers, systems software",15-1133,405,487.8,82.8,20.4,1.9,134.7,"$99,000",Bachelor's degree,None,None
Web developers,15-1134,141.4,169.9,28.5,20.1,22.5,50.7,"$62,500",Associate's degree,None,None
Database and systems administrators and network architects,15-1140,628.6,710.3,81.8,13,1,184.3,"$76,880",— ,— ,— 
Database administrators,15-1141,118.7,136.6,17.9,15.1,1.6,40.3,"$77,080",Bachelor's degree,Less than 5 years,None
Network and computer systems administrators,15-1142,366.4,409.4,42.9,11.7,0.6,100.5,"$72,560",Bachelor's degree,None,None
Computer network architects,15-1143,143.4,164.3,20.9,14.6,1.2,43.5,"$91,000",Bachelor's degree,5 years or more,None
Computer support specialists,15-1150,722.4,845.3,123,17,0.8,236.5,"$48,900",— ,— ,— 
Computer user support specialists,15-1151,547.7,658.5,110.8,20.2,0.8,196.9,"$46,420","Some college, no degree",None,Moderate-term on-the-job training
Computer network support specialists,15-1152,174.6,186.8,12.1,6.9,0.8,39.6,"$59,090",Associate's degree,None,None
"Computer occupations, all other",15-1199,205.8,213.6,7.8,3.8,4,40.2,"$81,140",Bachelor's degree,None,None
Mathematical science occupations,15-2000,132.4,166.9,34.5,26.1,1.6,68.4,"$76,270",— ,— ,— 
Actuaries,15-2011,24.3,30.6,6.3,26.1,— ,13.2,"$93,680",Bachelor's degree,None,Long-term on-the-job training
Mathematicians,15-2021,3.5,4.3,0.8,22.7,— ,1.7,"$101,360",Master's degree,None,None
Operations research analysts,15-2031,73.2,92.7,19.5,26.7,0.9,36,"$72,100",Bachelor's degree,None,None
Statisticians,15-2041,27.6,34.9,7.4,26.7,0.6,16.1,"$75,560",Master's degree,None,None
Miscellaneous mathematical science occupations,15-2090,3.9,4.4,0.5,12.9,33.4,1.5,"$56,410",— ,— ,— 
Mathematical technicians,15-2091,1.9,2.1,0.2,12.6,33.5,0.7,"$56,820",Bachelor's degree,None,None
"Mathematical science occupations, all other",15-2099,1.9,2.2,0.3,13.3,33.4,0.7,"$56,120",Bachelor's degree,None,None
Architecture and engineering occupations,17-0000,2474.5,2654,179.6,7.3,2.9,763.9,"$73,540",— ,— ,— 
"Architects, surveyors, and cartographers",17-1000,182.1,210.3,28.2,15.5,16,70,"$66,380",— ,— ,— 
"Architects, except naval",17-1010,127.5,149,21.4,16.8,21.7,51.7,"$71,700",— ,— ,— 
"Architects, except landscape and naval",17-1011,107.4,126,18.6,17.3,21.9,44.1,"$73,090",Bachelor's degree,None,Internship/residency
Landscape architects,17-1012,20.1,22.9,2.9,14.3,20.9,7.6,"$64,180",Bachelor's degree,None,Internship/residency
"Surveyors, cartographers, and photogrammetrists",17-1020,54.5,61.3,6.8,12.4,2.5,18.3,"$56,530",— ,— ,— 
Cartographers and photogrammetrists,17-1021,12.1,14.5,2.4,19.6,2,4.9,"$57,440",Bachelor's degree,None,None
Surveyors,17-1022,42.4,46.8,4.4,10.3,2.7,13.4,"$56,230",Bachelor's degree,Less than 5 years,None
Engineers,17-2000,1589.6,1726.1,136.5,8.6,1.9,544.3,"$86,200",— ,— ,— 
Aerospace engineers,17-2011,83,89.1,6.1,7.3,1.1,25.4,"$103,720",Bachelor's degree,None,None
Agricultural engineers,17-2021,2.6,2.7,0.1,4.8,— ,0.8,"$74,000",Bachelor's degree,None,None
Biomedical engineers,17-2031,19.4,24.6,5.2,26.6,— ,10.1,"$86,960",Bachelor's degree,None,None
Chemical engineers,17-2041,33.3,34.8,1.5,4.5,— ,9.2,"$94,350",Bachelor's degree,None,None
Civil engineers,17-2051,272.9,326.6,53.7,19.7,2.9,120.1,"$79,340",Bachelor's degree,None,None
Computer hardware engineers,17-2061,83.3,89.4,6.2,7.4,3,24.1,"$100,920",Bachelor's degree,None,None
Electrical and electronics engineers,17-2070,306.1,318.7,12.6,4.1,2,79.4,"$89,630",— ,— ,— 
Electrical engineers,17-2071,166.1,174,7.9,4.7,2.1,44.1,"$87,920",Bachelor's degree,None,None
"Electronics engineers, except computer",17-2072,140,144.8,4.8,3.4,1.9,35.3,"$91,820",Bachelor's degree,None,None
Environmental engineers,17-2081,53.2,61.4,8.1,15.3,1.9,21.1,"$80,890",Bachelor's degree,None,None
"Industrial engineers, including health and safety",17-2110,247.4,260.1,12.7,5.1,0.6,85.1,"$78,690",— ,— ,— 
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,24.1,26.7,2.6,11,0.6,9.7,"$76,830",Bachelor's degree,None,None
Industrial engineers,17-2112,223.3,233.4,10.1,4.5,0.6,75.4,"$78,860",Bachelor's degree,None,None
Marine engineers and naval architects,17-2121,7.3,8.1,0.8,10.3,3.7,2.6,"$88,100",Bachelor's degree,None,None
Materials engineers,17-2131,23.2,23.4,0.2,0.9,— ,7.5,"$85,150",Bachelor's degree,None,None
Mechanical engineers,17-2141,258.1,269.7,11.6,4.5,0.6,99.7,"$80,580",Bachelor's degree,None,None
"Mining and geological engineers, including mining safety engineers",17-2151,7.9,8.9,1,12,1.2,3,"$84,320",Bachelor's degree,None,None
Nuclear engineers,17-2161,20.4,22.3,1.9,9.3,— ,7.1,"$104,270",Bachelor's degree,None,None
Petroleum engineers,17-2171,38.5,48.4,9.8,25.5,3.2,19.6,"$130,280",Bachelor's degree,None,None
"Engineers, all other",17-2199,133,138.1,5.1,3.8,5,29.5,"$92,030",Bachelor's degree,None,None
"Drafters, engineering technicians, and mapping technicians",17-3000,702.8,717.7,14.8,2.1,1.9,149.6,"$51,720",— ,— ,— 
Drafters,17-3010,199.8,202,2.2,1.1,3.1,32.1,"$49,630",— ,— ,— 
Architectural and civil drafters,17-3011,87.9,88.5,0.7,0.8,3.1,12.4,"$47,870",Associate's degree,None,None
Electrical and electronics drafters,17-3012,29.6,32.5,2.9,9.6,3.2,6.8,"$55,700",Associate's degree,None,None
Mechanical drafters,17-3013,66.7,63.4,-3.3,-4.9,3.2,8.9,"$50,360",Associate's degree,None,None
"Drafters, all other",17-3019,15.6,17.6,2,12.7,3.1,4.1,"$46,110",Associate's degree,None,None
"Engineering technicians, except drafters",17-3020,449.1,454.4,5.3,1.2,0.2,100.5,"$53,920",— ,— ,— 
Aerospace engineering and operations technicians,17-3021,9.9,9.9,0,-0.4,— ,2.1,"$61,530",Associate's degree,None,None
Civil engineering technicians,17-3022,73.1,73.6,0.4,0.6,0.2,15.6,"$47,560",Associate's degree,None,None
Electrical and electronics engineering technicians,17-3023,146.5,146.5,0,0,0.3,30.4,"$57,850",Associate's degree,None,None
Electro-mechanical technicians,17-3024,17.3,18,0.7,3.9,— ,4.3,"$51,820",Associate's degree,None,None
Environmental engineering technicians,17-3025,19,22.5,3.5,18.4,— ,7.4,"$45,350",Associate's degree,None,None
Industrial engineering technicians,17-3026,68,65.8,-2.2,-3.2,0.3,14.1,"$50,980",Associate's degree,None,None
Mechanical engineering technicians,17-3027,47.5,49.7,2.2,4.7,0.3,12.1,"$51,980",Associate's degree,None,None
"Engineering technicians, except drafters, all other",17-3029,67.7,68.3,0.6,0.9,0.2,14.6,"$59,440",Associate's degree,None,None
Surveying and mapping technicians,17-3031,54,61.3,7.3,13.5,11.2,17,"$39,670",High school diploma or equivalent,None,Moderate-term on-the-job training
"Life, physical, and social science occupations",19-0000,1249.1,1374.8,125.7,10.1,5.4,488.2,"$60,100",— ,— ,— 
Life scientists,19-1000,294.5,321.8,27.2,9.2,3.1,104.7,"$68,780",— ,— ,— 
Agricultural and food scientists,19-1010,38.5,42,3.6,9.3,13.6,16.4,"$58,610",— ,— ,— 
Animal scientists,19-1011,2.7,3,0.2,8.8,11,1.2,"$61,680",Doctoral or professional degree,None,None
Food scientists and technologists,19-1012,19.4,21.5,2.1,10.8,15.6,8.5,"$58,070",Bachelor's degree,None,None
Soil and plant scientists,19-1013,16.3,17.6,1.2,7.5,11.7,6.7,"$58,740",Bachelor's degree,None,None
Biological scientists,19-1020,103.7,111.3,7.6,7.3,2.3,37.4,"$69,850",— ,— ,— 
Biochemists and biophysicists,19-1021,29.2,34.6,5.4,18.6,3.7,13.7,"$81,480",Doctoral or professional degree,None,None
Microbiologists,19-1022,20.1,21.6,1.4,7,2.8,7.1,"$66,260",Bachelor's degree,None,None
Zoologists and wildlife biologists,19-1023,20.1,21.1,1,4.9,1.3,6.7,"$57,710",Bachelor's degree,None,None
"Biological scientists, all other",19-1029,34.3,34.1,-0.2,-0.6,1.3,9.8,"$72,700",Bachelor's degree,None,None
Conservation scientists and foresters,19-1030,34.2,35,0.9,2.5,1.8,10.8,"$59,060",— ,— ,— 
Conservation scientists,19-1031,22.1,22.3,0.1,0.5,1.5,6.6,"$61,100",Bachelor's degree,None,None
Foresters,19-1032,12,12.8,0.7,6.1,2.2,4.2,"$55,950",Bachelor's degree,None,None
Medical scientists,19-1040,108.3,122.5,14.2,13.1,0.8,37.1,"$76,080",— ,— ,— 
Epidemiologists,19-1041,5.1,5.7,0.5,10.2,— ,1.6,"$65,270",Master's degree,None,None
"Medical scientists, except epidemiologists",19-1042,103.1,116.8,13.7,13.3,0.8,35.5,"$76,980",Doctoral or professional degree,None,None
"Life scientists, all other",19-1099,9.9,10.9,1,10.2,— ,3.1,"$65,330",Bachelor's degree,None,None
Physical scientists,19-2000,297.4,328.1,30.7,10.3,3.1,110.6,"$74,850",— ,— ,— 
Astronomers and physicists,19-2010,23.3,25.7,2.4,10.3,6.9,8.1,"$106,360",— ,— ,— 
Astronomers,19-2011,2.7,2.9,0.3,10,5.2,0.9,"$96,460",Doctoral or professional degree,None,None
Physicists,19-2012,20.6,22.7,2.1,10.4,7.1,7.2,"$106,840",Doctoral or professional degree,None,None
Atmospheric and space scientists,19-2021,11.1,12.2,1.1,10,1.7,3.8,"$89,260",Bachelor's degree,None,None
Chemists and materials scientists,19-2030,96.2,101.6,5.4,5.6,0.7,30.4,"$73,060",— ,— ,— 
Chemists,19-2031,87.9,92.9,5,5.6,0.7,27.8,"$71,770",Bachelor's degree,None,None
Materials scientists,19-2032,8.3,8.8,0.4,5.2,0.8,2.6,"$88,990",Bachelor's degree,None,None
Environmental scientists and geoscientists,19-2040,135.5,155.5,20,14.7,2.5,59.9,"$69,750",— ,— ,— 
"Environmental scientists and specialists, including health",19-2041,90,103.2,13.2,14.6,2.2,39.7,"$63,570",Bachelor's degree,None,None
"Geoscientists, except hydrologists and geographers",19-2042,38.2,44.2,6,15.8,3.3,17.3,"$90,890",Bachelor's degree,None,None
Hydrologists,19-2043,7.4,8.1,0.8,10.4,1.9,2.9,"$75,530",Master's degree,None,None
"Physical scientists, all other",19-2099,31.2,33.1,1.8,5.9,10.3,8.3,"$91,640",Bachelor's degree,None,None
Social scientists and related workers,19-3000,290.4,323.2,32.8,11.3,16.1,111,"$69,290",— ,— ,— 
Economists,19-3011,16.9,19.2,2.3,13.9,1.8,7.4,"$91,860",Master's degree,None,None
Survey researchers,19-3022,18,21.2,3.2,17.6,— ,5.6,"$45,050",Master's degree,None,None
Psychologists,19-3030,160.2,178.9,18.7,11.7,26.5,62.3,"$69,280",— ,— ,— 
"Clinical, counseling, and school psychologists",19-3031,145.1,161.5,16.4,11.3,27.2,55.9,"$67,650",Doctoral or professional degree,None,Internship/residency
Industrial-organizational psychologists,19-3032,1.6,2.5,0.9,53.4,35.9,1.3,"$83,580",Master's degree,None,Internship/residency
"Psychologists, all other",19-3039,13.4,14.9,1.4,10.7,18.1,5.1,"$90,020",Master's degree,None,Internship/residency
Sociologists,19-3041,2.6,3,0.4,15,— ,1.1,"$74,960",Master's degree,None,None
Urban and regional planners,19-3051,38.7,42.7,4,10.3,— ,21.4,"$65,230",Master's degree,None,None
Miscellaneous social scientists and related workers,19-3090,54.1,58.3,4.2,7.7,7.1,13.2,"$74,740",— ,— ,— 
Anthropologists and archeologists,19-3091,7.2,8.6,1.4,19.4,12.3,2.6,"$57,420",Master's degree,None,None
Geographers,19-3092,1.7,2.2,0.5,29,7.5,0.8,"$74,760",Bachelor's degree,None,None
Historians,19-3093,3.8,4,0.2,6,7.1,0.8,"$52,480",Master's degree,None,None
Political scientists,19-3094,6.6,8,1.4,21.3,6.5,2.5,"$102,000",Master's degree,None,None
"Social scientists and related workers, all other",19-3099,34.8,35.5,0.7,1.9,6.1,6.4,"$76,540",Bachelor's degree,None,None
"Life, physical, and social science technicians",19-4000,366.8,401.8,35,9.5,0.8,162,"$41,130",— ,— ,— 
Agricultural and food science technicians,19-4011,25.9,26.7,0.8,2.9,0.8,10.1,"$34,070",Associate's degree,None,Moderate-term on-the-job training
Biological technicians,19-4021,80.2,88.3,8,10,— ,32.1,"$39,750",Bachelor's degree,None,None
Chemical technicians,19-4031,63.6,69.5,6,9.4,1.5,21.6,"$42,920",Associate's degree,None,Moderate-term on-the-job training
Geological and petroleum technicians,19-4041,15.8,18.2,2.4,15.1,— ,8.1,"$52,700",Associate's degree,None,Moderate-term on-the-job training
Nuclear technicians,19-4051,8.1,9.3,1.2,14.9,— ,4.1,"$69,060",Associate's degree,None,Moderate-term on-the-job training
Social science research assistants,19-4061,29.6,34,4.4,15,— ,16.1,"$37,140",Associate's degree,None,None
"Miscellaneous life, physical, and social science technicians",19-4090,143.6,155.8,12.2,8.5,1.3,69.8,"$41,210",— ,— ,— 
"Environmental science and protection technicians, including health",19-4091,32.8,38.9,6.2,18.8,2.2,19,"$41,240",Associate's degree,None,None
Forensic science technicians,19-4092,12.9,13.7,0.7,5.8,— ,5.8,"$52,840",Bachelor's degree,None,Moderate-term on-the-job training
Forest and conservation technicians,19-4093,34,32.8,-1.2,-3.5,— ,13.4,"$33,920",Associate's degree,None,None
"Life, physical, and social science technicians, all other",19-4099,63.9,70.4,6.5,10.1,1.6,31.6,"$43,130",Associate's degree,None,None
Community and social service occupations,21-0000,2374.7,2783.4,408.8,17.2,2,962.9,"$40,400",— ,— ,— 
"Counselors, social workers, and other community and social service specialists",21-1000,1940.9,2309.4,368.5,19,2.3,814.2,"$40,400",— ,— ,— 
Counselors,21-1010,665.5,802.3,136.8,20.6,5.7,278.3,"$44,040",— ,— ,— 
Substance abuse and behavioral disorder counselors,21-1011,89.6,117.7,28.2,31.4,7.9,47.2,"$38,520",High school diploma or equivalent,None,Moderate-term on-the-job training
"Educational, guidance, school, and vocational counselors",21-1012,262.3,293.5,31.2,11.9,2.9,87,"$53,610",Master's degree,None,None
Marriage and family therapists,21-1013,37.8,49.4,11.6,30.6,7.4,19.6,"$46,670",Master's degree,None,Internship/residency
Mental health counselors,21-1014,128.4,165.1,36.7,28.5,8.3,64,"$40,080",Master's degree,None,Internship/residency
Rehabilitation counselors,21-1015,117.5,140.9,23.4,19.9,7.2,48.4,"$33,880",Master's degree,None,None
"Counselors, all other",21-1019,29.8,35.6,5.8,19.4,5.2,12.1,"$43,810",Master's degree,None,None
Social workers,21-1020,607.3,721.5,114.1,18.8,1,242.8,"$44,200",— ,— ,— 
"Child, family, and school social workers",21-1021,285.7,328.8,43.1,15.1,0.7,103.6,"$41,530",Bachelor's degree,None,None
Healthcare social workers,21-1022,146.2,185.5,39.2,26.8,1.3,70.2,"$49,830",Master's degree,None,None
Mental health and substance abuse social workers,21-1023,114.2,140.2,26,22.8,1.3,50.2,"$39,980",Bachelor's degree,None,None
"Social workers, all other",21-1029,61.2,67,5.8,9.5,0.6,18.8,"$54,560",Bachelor's degree,None,None
Miscellaneous community and social service specialists,21-1090,668,785.6,117.6,17.6,0,293.2,"$34,130",— ,— ,— 
Health educators,21-1091,58.9,70.1,11.2,19,0.1,26.6,"$48,790",Bachelor's degree,None,None
Probation officers and correctional treatment specialists,21-1092,90.3,89.3,-0.9,-1,— ,23.6,"$48,190",Bachelor's degree,None,Short-term on-the-job training
Social and human service assistants,21-1093,372.7,453.9,81.2,21.8,— ,178.7,"$28,850",High school diploma or equivalent,None,Short-term on-the-job training
Community health workers,21-1094,40.5,50.7,10.2,25.1,— ,20.8,"$34,620",High school diploma or equivalent,None,Short-term on-the-job training
"Community and social service specialists, all other",21-1099,105.6,121.6,16,15.1,0.1,43.6,"$41,060",Master's degree,None,None
Religious workers,21-2000,433.8,474.1,40.3,9.3,0.7,148.7,"$40,360",— ,— ,— 
Clergy,21-2011,239.6,263.2,23.6,9.8,0.8,72.6,"$44,060",Bachelor's degree,None,Moderate-term on-the-job training
"Directors, religious activities and education",21-2021,134.2,145.5,11.3,8.4,0.8,57,"$37,280",Bachelor's degree,Less than 5 years,None
"Religious workers, all other",21-2099,59.9,65.3,5.4,8.9,— ,19.1,"$26,380",Bachelor's degree,None,None
